Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212599993,0.197559997,0.199100003,0.186509997,0.192469999,,,,0.269939989,0.241410002,0.259030014,0.255100012,0.270240009,0.433120012,0.433450013,0.531539977,0.50898999,0.63894999,0.636489987,0.718580008,0.70848,0.679409981,0.723879993,0.837149978,0.962180018,,
EMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.740014604,1.71382438,1.741036209,1.767006678,1.809226666,1.797831718,1.839579609,1.806546986,1.784122709,1.781128113,1.802837647,1.808349285,1.892094533,1.988865259,1.996156459,2.042182597,2.098199931,2.11732846,2.14932763,2.138957662,2.142625854,2.182599274,2.216162644,2.260426241,2.361710181,,
ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.787530005,0.777809978,0.848039985,0.838540018,0.882759988,0.888329983,0.959710002,1.02373004,1.040889978,1.099560022,1.177019954,1.240530014,1.325000048,1.363639951,1.35995996,1.333410025,1.298769951,1.27523005,1.242130041,1.222360015,1.190479994,1.210420012,1.242130041,1.25138998,1.405410051,,
EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.565010011,0.677079976,0.600000024,0.698390007,0.712029994,0.764649987,0.845839977,0.917050004,1.112769961,1.05874002,1.25188005,1.396790028,1.578989983,2.305219889,2.12480998,1.724120021,1.430230021,1.467499971,1.243059993,1.276849985,1.416239977,1.633370042,1.792469978,,
ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179169998,,0.170890003,,,0.241370007,,,0.604740024,,,,0.274370015,,,,,
EUU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.698587707,1.730817428,1.699581675,1.78386061,1.762879799,1.821476809,1.789750748,1.825439181,1.793623377,1.781860032,1.802530069,1.796535629,1.873854152,1.968272501,1.969171266,2.015891115,2.076880215,2.096702311,2.117969921,2.118173187,2.117172533,2.15260039,2.185104996,2.224008415,2.323580135,,
FCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.452559948,2.621579885,2.784420013,3.056190014,3.241379976,3.193720102,3.253079891,3.298219919,3.30907011,3.323699951,3.332149982,3.337039948,3.5369699,3.734019995,3.705319881,3.618060112,3.39831996,3.271369934,3.147510052,2.871959925,2.724420071,2.727869987,2.757420063,2.796829939,2.935440063,,
FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.222800016,2.146990061,2.094759941,2.107670069,2.093460083,2.138040066,2.174489975,2.119940042,2.094609976,2.051510096,2.050940037,2.024509907,2.061170101,2.212069988,2.178570032,2.191610098,2.227070093,2.237030029,2.275919914,2.227020025,2.222379923,2.198879957,2.196660042,2.191790104,2.354929924,,
FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.857050002,,,,,,,,,,,,,,,,,,,
FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41633001,0.510900021,0.579240024,,,,,,,,,,,,,
GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.573330045,1.538609982,1.548050046,1.624680042,1.612930059,1.601189971,1.615329981,1.579249978,1.530709982,1.54903996,1.571259975,1.610129952,1.60382998,1.66099,1.635159969,1.639989972,1.568879962,1.610299945,1.630970001,1.634240031,1.642809987,1.659809947,1.704939961,1.70799005,,,
GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.330879986,0.342400014,0.353839993,0.287690014,0.215299994,0.238480002,0.185739994,0.217600003,0.244200006,0.176579997,,,,,,,,0.078560002,0.173179999,0.299279988,0.285860002,0.270229995,0.280519992,0.284680009,0.300799996,,
GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231570005,,,0.376549989,,,,,,,,,,,,
GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01261,0.01086,,0.084799998,,,,,,,0.069329999,,,,
GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429100007,,0.568229973,,0.559480011,,0.546540022,0.5273,0.578960001,0.561179996,0.576550007,0.661830008,0.625569999,0.603470027,0.684260011,0.710049987,0.814779997,0.839980006,0.966050029,1.005290031,1.152279973,1.21370995,1.275660038,1.496099949,,
GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.527409971,0.556280017,0.508040011,0.646080017,,,,,,,,,,,,,,,,,,
GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035560001,0.050099999,0.067819998,0.062899999,0.056200001,0.044210002,0.048939999,0.045430001,0.039159998,0.02949,0.03064,0.02311,0.029549999,0.02943,0.02647,,,
GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.265700012,0.255180001,0.256099999,,,,,,,,,,,,,,,,,
GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.148141839,2.177076909,2.179659873,2.247960037,2.310570127,2.344240147,2.285069971,2.256756937,2.206321371,2.220920955,2.245967658,2.248006337,2.325580351,2.393086702,2.373976598,2.382631496,2.400621592,2.397407043,2.448718485,2.461806158,2.518649279,2.558546052,2.621363019,2.701613144,2.9680578,,
